municipality,area_2008
Aabenraa,941.55
Aalborg,1143.99
Aarhus,468.87
Albertslund,23.04
Allerød,67.44
Assens,512.2
Ballerup,34.09
Billund,536.51
Bornholm,588.15
Brøndby,20.65
Brønderslev,633.18
Christiansø,0.4
Copenhagen,88.25
Dragør,18.14
Egedal,125.79
Esbjerg,752.67
Faaborg-Midtfyn,637.42
Fanø,55.78
Favrskov,540.86
Faxe,404.54
Fredensborg,112.08
Fredericia,134.46
Frederiksberg,8.77
Frederikshavn,648.62
Frederikssund,248.63
Furesø,56.68
Gentofte,25.54
Gladsaxe,25.0
Glostrup,13.31
Greve,60.18
Gribskov,280.0
Guldborgsund,903.42
Haderslev,812.64
Halsnæs,121.19
Hedensted,551.54
Helsingør,121.61
Herlev,12.04
Herning,1323.5
Hillerød,214.39
Hjørring,929.58
Holbæk,578.74
Holstebro,800.19
Horsens,515.22
Hvidovre,21.91
Høje-Taastrup,78.41
Hørsholm,31.38
Ikast-Brande,736.41
Ishøj,25.94
Jammerbugt,872.92
Kalundborg,603.73
Kerteminde,205.85
Kolding,611.57
Køge,255.47
Langeland,291.21
Lejre,240.07
Lemvig,508.17
Lolland,891.92
Lyngby-Taarbæk,38.88
Læsø,113.81
Mariagerfjord,722.93
Middelfart,299.93
Morsø,367.67
Norddjurs,721.19
Nordfyns,451.57
Nyborg,276.24
Næstved,683.88
Odder,225.13
Odense,304.34
Odsherred,355.3
Randers,746.35
Rebild,622.75
Ringkøbing-Skjern,1488.82
Ringsted,295.48
Roskilde,211.88
Rudersdal,73.34
Rødovre,12.12
Samsø,114.26
Silkeborg,864.89
Skanderborg,462.45
Skive,690.7
Slagelse,567.34
Solrød,39.99
Sorø,309.93
Stevns,250.19
Struer,250.84
Svendborg,416.63
Syddjurs,696.34
Sønderborg,496.57
Thisted,1101.65
Tårnby,64.95
Tønder,1252.39
Vallensbæk,9.15
Varde,1245.66
Vejen,814.36
Vejle,1066.17
Vesthimmerlands,776.22
Viborg,1418.61
Vordingborg,621.15
Ærø,90.45
