municipality,area_2008
Copenhagen,88.25
Frederiksberg,8.77
Dragør,18.14
Tårnby,64.95
Albertslund,23.04
Ballerup,34.09
Brøndby,20.65
Gentofte,25.54
Gladsaxe,25.0
Glostrup,13.31
Herlev,12.04
Hvidovre,21.91
Høje-Taastrup,78.41
Ishøj,25.94
Lyngby-Taarbæk,38.88
Rødovre,12.12
Vallensbæk,9.15
Allerød,67.44
Egedal,125.79
Fredensborg,112.08
Frederikssund,248.63
Furesø,56.68
Gribskov,280.0
Halsnæs,121.19
Helsingør,121.61
Hillerød,214.39
Hørsholm,31.38
Rudersdal,73.34
Bornholm,588.15
Christiansø,0.4
Greve,60.18
Køge,255.47
Lejre,240.07
Roskilde,211.88
Solrød,39.99
Faxe,404.54
Guldborgsund,903.42
Holbæk,578.74
Kalundborg,603.73
Lolland,891.92
Næstved,683.88
Odsherred,355.3
Ringsted,295.48
Slagelse,567.34
Sorø,309.93
Stevns,250.19
Vordingborg,621.15
Assens,512.2
Faaborg-Midtfyn,637.42
Kerteminde,205.85
Langeland,291.21
Middelfart,299.93
Nordfyns,451.57
Nyborg,276.24
Odense,304.34
Svendborg,416.63
Ærø,90.45
Billund,536.51
Esbjerg,752.67
Fanø,55.78
Fredericia,134.46
Haderslev,812.64
Kolding,611.57
Sønderborg,496.57
Tønder,1252.39
Varde,1245.66
Vejen,814.36
Vejle,1066.17
Aabenraa,941.55
Favrskov,540.86
Hedensted,551.54
Horsens,515.22
Norddjurs,721.19
Odder,225.13
Randers,746.35
Samsø,114.26
Silkeborg,864.89
Skanderborg,462.45
Syddjurs,696.34
Aarhus,468.87
Herning,1323.5
Holstebro,800.19
Ikast-Brande,736.41
Lemvig,508.17
Ringkøbing-Skjern,1488.82
Skive,690.7
Struer,250.84
Viborg,1418.61
Brønderslev,633.18
Frederikshavn,648.62
Hjørring,929.58
Jammerbugt,872.92
Læsø,113.81
Mariagerfjord,722.93
Morsø,367.67
Rebild,622.75
Thisted,1101.65
Vesthimmerlands,776.22
Aalborg,1143.99
