municipality,year,inc
Copenhagen,1987,75356.0
Frederiksberg,1987,85428.0
Dragør,1987,97966.0
Tårnby,1987,87598.0
Albertslund,1987,83540.0
Ballerup,1987,86399.0
Brøndby,1987,83594.0
Gentofte,1987,107551.0
Gladsaxe,1987,83460.0
Glostrup,1987,84798.0
Herlev,1987,87123.0
Hvidovre,1987,83088.0
Høje-Taastrup,1987,86492.0
Ishøj,1987,83971.0
Lyngby-Taarbæk,1987,94909.0
Rødovre,1987,82598.0
Vallensbæk,1987,95429.0
Allerød,1987,95806.0
Egedal,1987,91226.0
Fredensborg,1987,89762.0
Frederikssund,1987,84104.0
Furesø,1987,96268.0
Gribskov,1987,85116.0
Halsnæs,1987,80800.0
Helsingør,1987,82919.0
Hillerød,1987,88912.0
Hørsholm,1987,113579.0
Rudersdal,1987,105103.0
Bornholm,1987,71571.0
Greve,1987,91719.0
Køge,1987,81488.0
Lejre,1987,86303.0
Roskilde,1987,85649.0
Solrød,1987,92036.0
Faxe,1987,76556.0
Guldborgsund,1987,72076.0
Holbæk,1987,76611.0
Kalundborg,1987,75945.0
Lolland,1987,69421.0
Næstved,1987,76668.0
Odsherred,1987,74421.0
Ringsted,1987,78901.0
Slagelse,1987,75429.0
Sorø,1987,74891.0
Stevns,1987,78909.0
Vordingborg,1987,73561.0
Assens,1987,71674.0
Faaborg-Midtfyn,1987,72108.0
Kerteminde,1987,74932.0
Langeland,1987,68259.0
Middelfart,1987,74866.0
Nordfyns,1987,71409.0
Nyborg,1987,72329.0
Odense,1987,74147.0
Svendborg,1987,73513.0
Ærø,1987,69808.0
Billund,1987,77213.0
Esbjerg,1987,76981.0
Fanø,1987,79413.0
Fredericia,1987,77459.0
Haderslev,1987,73363.0
Kolding,1987,74992.0
Sønderborg,1987,75251.0
Tønder,1987,73299.0
Varde,1987,73916.0
Vejen,1987,71678.0
Vejle,1987,74831.0
Aabenraa,1987,74649.0
Favrskov,1987,75959.0
Hedensted,1987,75386.0
Horsens,1987,73932.0
Norddjurs,1987,72040.0
Odder,1987,76552.0
Randers,1987,73431.0
Samsø,1987,65990.0
Silkeborg,1987,76745.0
Skanderborg,1987,77303.0
Syddjurs,1987,75668.0
Aarhus,1987,77357.0
Herning,1987,77264.0
Holstebro,1987,75672.0
Ikast-Brande,1987,75265.0
Lemvig,1987,74422.0
Ringkøbing-Skjern,1987,74526.0
Skive,1987,72136.0
Struer,1987,74221.0
Viborg,1987,73824.0
Brønderslev,1987,69738.0
Frederikshavn,1987,75216.0
Hjørring,1987,72726.0
Jammerbugt,1987,71405.0
Læsø,1987,67270.0
Mariagerfjord,1987,71461.0
Morsø,1987,69893.0
Rebild,1987,73871.0
Thisted,1987,71679.0
Vesthimmerlands,1987,69105.0
Aalborg,1987,74460.0
Copenhagen,1988,79444.0
Frederiksberg,1988,89924.0
Dragør,1988,99867.0
Tårnby,1988,90789.0
Albertslund,1988,87075.0
Ballerup,1988,89122.0
Brøndby,1988,86917.0
Gentofte,1988,112400.0
Gladsaxe,1988,87294.0
Glostrup,1988,88185.0
Herlev,1988,89767.0
Hvidovre,1988,85910.0
Høje-Taastrup,1988,90196.0
Ishøj,1988,87649.0
