municipality,year,income men,income women
Aabenraa,1987,86919.0,62673.0
Aabenraa,1988,90346.0,67664.0
Aabenraa,1989,95542.0,72463.0
Aabenraa,1990,98559.0,75827.0
Aabenraa,1991,104325.0,79897.0
Aabenraa,1992,108199.0,83550.0
Aabenraa,1993,111672.0,86737.0
Aabenraa,1994,122034.0,91960.0
Aabenraa,1995,128486.0,96187.0
Aabenraa,1996,133740.0,99828.0
Aabenraa,1997,137584.0,103081.0
Aabenraa,1998,142655.0,107642.0
Aabenraa,1999,146552.0,111103.0
Aabenraa,2000,152141.0,115269.0
Aabenraa,2001,153567.0,118916.0
Aabenraa,2002,158920.0,124023.0
Aabenraa,2003,159843.0,128447.0
Aabenraa,2004,171955.0,135302.0
Aabenraa,2005,175688.0,139109.0
Aabenraa,2006,183758.0,142667.0
Aabenraa,2007,187102.0,147263.0
Aabenraa,2008,181934.0,150917.0
Aabenraa,2009,178299.0,156147.0
Aabenraa,2010,196487.0,166415.0
Aabenraa,2011,200550.0,168036.0
Aabenraa,2012,205483.0,171017.0
Aabenraa,2013,208408.0,174848.0
Aabenraa,2014,209181.0,178225.0
Aabenraa,2015,216810.0,180337.0
Aabenraa,2016,220887.0,183401.0
Aabenraa,2017,233439.0,187003.0
Aabenraa,2018,234490.0,193055.0
Aabenraa,2019,244129.0,196972.0
Aabenraa,2020,255519.0,204887.0
Aabenraa,2021,267431.0,212840.0
Aabenraa,2022,276723.0,212279.0
Aabenraa,2023,282216.0,218460.0
Aalborg,1987,85120.0,64246.0
Aalborg,1988,88885.0,69145.0
Aalborg,1989,93416.0,74327.0
Aalborg,1990,96542.0,77408.0
Aalborg,1991,101356.0,81646.0
Aalborg,1992,103589.0,84313.0
Aalborg,1993,106740.0,87041.0
Aalborg,1994,114162.0,92786.0
Aalborg,1995,119955.0,95998.0
Aalborg,1996,124388.0,99769.0
Aalborg,1997,129236.0,103552.0
Aalborg,1998,135407.0,108080.0
Aalborg,1999,138764.0,111954.0
Aalborg,2000,145921.0,116135.0
Aalborg,2001,148025.0,120252.0
Aalborg,2002,151951.0,125427.0
