municipality,year,emp_rate,part_rate
Aabenraa,2008,74.6,76.3
Aabenraa,2009,71.6,75.2
Aabenraa,2010,70.9,74.5
Aabenraa,2011,70.2,74.0
Aabenraa,2012,69.5,73.7
Aabenraa,2013,69.4,73.4
Aabenraa,2014,70.1,73.4
Aabenraa,2015,70.7,73.7
Aabenraa,2016,72.0,74.7
Aabenraa,2017,72.9,75.5
Aabenraa,2018,74.0,76.4
Aabenraa,2019,74.1,76.6
Aabenraa,2020,73.8,76.4
Aabenraa,2021,75.5,76.9
Aabenraa,2022,75.6,77.1
Aabenraa,2023,75.3,77.0
Aalborg,2008,73.2,75.5
Aalborg,2009,70.1,74.1
Aalborg,2010,69.7,73.7
Aalborg,2011,69.2,73.0
Aalborg,2012,68.6,72.5
Aalborg,2013,67.9,71.8
Aalborg,2014,68.0,71.9
Aalborg,2015,68.5,72.2
Aalborg,2016,69.5,72.9
Aalborg,2017,69.9,73.7
Aalborg,2018,71.0,74.4
Aalborg,2019,71.4,74.8
Aalborg,2020,71.0,74.8
Aalborg,2021,74.3,76.7
Aalborg,2022,75.2,77.6
Aalborg,2023,75.5,78.0
Aarhus,2008,72.6,74.3
Aarhus,2009,69.8,72.9
Aarhus,2010,69.0,71.9
Aarhus,2011,68.0,71.0
Aarhus,2012,67.4,70.8
Aarhus,2013,67.3,70.5
Aarhus,2014,68.0,70.8
Aarhus,2015,68.4,71.1
Aarhus,2016,69.2,71.8
Aarhus,2017,69.9,72.8
Aarhus,2018,70.5,73.4
Aarhus,2019,71.1,74.0
Aarhus,2020,70.5,74.1
Aarhus,2021,73.7,75.8
Aarhus,2022,74.3,76.4
Aarhus,2023,74.2,76.5
Albertslund,2008,73.1,75.5
Albertslund,2009,69.2,73.5
Albertslund,2010,67.5,72.4
Albertslund,2011,67.4,72.1
Albertslund,2012,66.5,71.9
Albertslund,2013,67.0,72.1
Albertslund,2014,67.4,72.0
Albertslund,2015,68.7,72.8
Albertslund,2016,68.8,72.8
Albertslund,2017,70.2,73.8
Albertslund,2018,71.3,74.9
Albertslund,2019,71.5,74.8
Albertslund,2020,70.8,74.7
Albertslund,2021,73.6,76.3
Albertslund,2022,75.1,77.1
Albertslund,2023,75.1,77.2
Allerød,2008,83.8,84.6
Allerød,2009,81.5,83.4
Allerød,2010,81.4,83.4
Allerød,2011,80.5,82.6
Allerød,2012,80.4,82.4
Allerød,2013,80.5,82.3
Allerød,2014,80.7,82.3
Allerød,2015,80.9,82.4
Allerød,2016,81.8,83.6
Allerød,2017,82.2,84.0
Allerød,2018,83.0,84.6
Allerød,2019,83.0,84.6
Allerød,2020,82.6,84.7
Allerød,2021,84.3,85.3
Allerød,2022,84.9,85.8
Allerød,2023,84.7,85.8
Assens,2008,76.0,77.9
Assens,2009,71.9,76.6
Assens,2010,71.7,76.3
Assens,2011,71.7,76.1
Assens,2012,70.8,75.3
Assens,2013,71.3,75.1
Assens,2014,71.4,74.5
Assens,2015,71.5,74.5
Assens,2016,71.5,74.5
Assens,2017,72.5,75.3
Assens,2018,73.5,75.9
Assens,2019,74.4,76.9
Assens,2020,74.5,77.1
Assens,2021,76.7,78.1
Assens,2022,77.2,78.8
Assens,2023,76.6,78.7
Ballerup,2008,75.9,77.2
Ballerup,2009,72.9,75.4
Ballerup,2010,71.9,74.9
Ballerup,2011,72.0,75.1
Ballerup,2012,71.4,75.1
Ballerup,2013,71.0,75.0
Ballerup,2014,71.8,74.8
Ballerup,2015,72.8,75.5
Ballerup,2016,73.6,76.4
Ballerup,2017,74.5,77.1
Ballerup,2018,75.3,77.7
Ballerup,2019,75.5,77.9
Ballerup,2020,74.7,77.7
Ballerup,2021,77.0,78.7
Ballerup,2022,78.1,79.5
Ballerup,2023,77.7,79.4
Billund,2008,80.1,81.1
Billund,2009,76.9,79.7
Billund,2010,76.5,78.9
Billund,2011,76.1,78.5
Billund,2012,75.4,78.3
Billund,2013,75.6,78.2
Billund,2014,75.4,78.2
Billund,2015,75.7,77.8
Billund,2016,76.6,78.5
Billund,2017,77.0,79.0
Billund,2018,77.7,79.6
Billund,2019,78.3,80.4
Billund,2020,76.7,79.4
Billund,2021,79.7,80.8
Billund,2022,80.5,81.5
Billund,2023,80.1,81.5
Bornholm,2008,68.0,71.9
Bornholm,2009,66.4,71.5
Bornholm,2010,65.9,71.2
Bornholm,2011,67.1,71.3
Bornholm,2012,66.0,71.3
Bornholm,2013,66.1,71.0
Bornholm,2014,67.0,71.4
Bornholm,2015,67.3,71.2
Bornholm,2016,69.3,72.6
Bornholm,2017,70.1,73.6
Bornholm,2018,70.2,73.9
Bornholm,2019,71.4,74.8
Bornholm,2020,70.3,74.4
Bornholm,2021,73.7,75.4
Bornholm,2022,74.0,75.9
Bornholm,2023,74.4,76.1
Brøndby,2008,72.3,74.0
Brøndby,2009,69.6,73.0
Brøndby,2010,68.3,72.0
Brøndby,2011,68.2,72.2
Brøndby,2012,67.4,72.1
Brøndby,2013,67.5,72.1
Brøndby,2014,67.3,71.2
Brøndby,2015,68.0,71.7
Brøndby,2016,69.1,72.5
Brøndby,2017,69.4,73.3
Brøndby,2018,70.2,74.1
Brøndby,2019,71.0,75.1
Brøndby,2020,69.5,74.9
Brøndby,2021,73.2,76.3
Brøndby,2022,74.2,76.8
Brøndby,2023,74.0,76.5
Brønderslev,2008,76.2,78.5
Brønderslev,2009,72.3,76.6
